Categoria,Edad,Genero,Ingresos,Nivel_Estudios,Frec_Trans_Mes,Ocupacion,Has_Credit,Depositos,Zona,Recencia,R,F,M,R_score,F_score,M_score,Cluster
Basica,39,Masculino,357311,Secundaria,5,Pensionado,Si,216052,Urbano,4,4,5,216052,5,1,1,0
Intermedia,46,Femenino,2882679,Universitario,5,Empleado,Si,3812769,Urbano,10,10,5,3812769,4,1,3,0
Intermedia,39,Femenino,3621060,Tecnico,5,Pensionado,Si,2571124,Urbano,13,13,5,2571124,4,1,2,0
Intermedia,40,Femenino,5637354,Primaria,11,Pensionado,Si,5040266,Urbano,18,18,11,5040266,3,3,4,2
Plena,41,Masculino,6829987,Universitario,7,Empleado,No,5577384,Urbano,46,46,7,5577384,2,2,4,1
Basica,48,Femenino,3685581,Sin educacion,12,Pensionado,Si,3317595,Rural,6,6,12,3317595,4,4,3,3
Intermedia,39,Masculino,65237,Universitario,0,Estudiante,No,42436,Rural,21,21,0,42436,3,1,1,0
Intermedia,60,Masculino,1697806,Universitario,6,Estudiante,No,1703867,Urbano,26,26,6,1703867,3,2,2,0
Basica,34,Femenino,3440758,Sin educacion,4,Estudiante,Si,4478637,Urbano,1,1,4,4478637,5,1,3,0
Intermedia,43,Femenino,3775117,Tecnico,9,Ama de casa,Si,3554401,Urbano,28,28,9,3554401,2,2,3,0
Basica,40,Femenino,27630,Sin educacion,7,Pensionado,Si,27371,Rural,5,5,7,27371,5,2,1,0
Basica,62,Femenino,4183372,Primaria,14,Empleado,Si,5642397,Rural,2,2,14,5642397,5,4,4,2
Plena,47,Femenino,8037220,Tecnico,1,Empleado,Si,9693354,Urbano,89,89,1,9693354,1,1,5,1
Plena,57,Masculino,5703559,Tecnico,10,Ama de casa,Si,5649115,Urbano,101,101,10,5649115,1,3,4,1
Plena,27,Masculino,691219,Universitario,13,Empleado,No,523734,Rural,49,49,13,523734,1,4,1,3
Intermedia,48,Masculino,5978817,Tecnico,19,Estudiante,No,8280224,Urbano,10,10,19,8280224,4,5,5,2
Basica,56,Femenino,3035311,Primaria,8,Pensionado,No,3269092,Rural,3,3,8,3269092,5,2,3,0
Plena,46,Masculino,8132384,Universitario,12,Empleado,No,5864649,Urbano,34,34,12,5864649,2,4,4,2
Intermedia,58,Masculino,5863627,Universitario,1,Empleado,Si,4509831,Urbano,17,17,1,4509831,3,1,4,1
Basica,39,Masculino,4175611,Sin educacion,0,Independiente,Si,5441377,Urbano,3,3,0,5441377,5,1,4,1
Intermedia,62,Femenino,4040463,Universitario,14,Independiente,No,2198600,Urbano,20,20,14,2198600,3,4,2,3
Basica,73,Masculino,729687,Sin educacion,10,Independiente,No,1088760,Rural,1,1,10,1088760,5,3,1,3
Plena,41,Femenino,6980038,Universitario,16,Pensionado,No,4399879,Urbano,72,72,16,4399879,1,5,3,2
Intermedia,40,Femenino,4839696,Primaria,3,Estudiante,Si,6272578,Urbano,8,8,3,6272578,4,1,4,1
Plena,62,Femenino,7719433,Primaria,13,Estudiante,Si,6907158,Urbano,32,32,13,6907158,2,4,5,2
Intermedia,64,Masculino,1325072,Secundaria,19,Estudiante,Si,1314758,Urbano,11,11,19,1314758,4,5,2,3
Intermedia,39,Masculino,1520807,Tecnico,12,Pensionado,No,2099703,Urbano,22,22,12,2099703,3,4,2,3
Intermedia,40,Femenino,6945194,Secundaria,11,Pensionado,No,6340345,Urbano,23,23,11,6340345,3,3,4,2
Basica,42,Femenino,3899885,Sin educacion,10,Independiente,Si,4046106,Urbano,6,6,10,4046106,4,3,3,3
Plena,29,Femenino,9445576,Tecnico,2,Empleado,Si,5188452,Urbano,104,104,2,5188452,1,1,4,1
Plena,34,Femenino,7890639,Universitario,17,Ama de casa,No,3963843,Rural,44,44,17,3963843,2,5,3,2
Plena,33,Femenino,6210415,Tecnico,7,Ama de casa,No,4625516,Urbano,84,84,7,4625516,1,2,4,1
Plena,36,Femenino,6802980,Secundaria,13,Empleado,Si,8031483,Urbano,67,67,13,8031483,1,4,5,2
Intermedia,45,Masculino,6935198,Secundaria,2,Independiente,No,4308595,Urbano,27,27,2,4308595,2,1,3,1
Plena,48,Femenino,6019590,Sin educacion,4,Empleado,Si,3694595,Urbano,76,76,4,3694595,1,1,3,1
Basica,64,Femenino,3288435,Tecnico,17,Empleado,Si,2995635,Rural,2,2,17,2995635,5,5,3,3
Basica,33,Femenino,813679,Tecnico,8,Ama de casa,No,933971,Rural,6,6,8,933971,4,2,1,0
Basica,57,Masculino,2464390,Secundaria,17,Independiente,No,2987018,Rural,1,1,17,2987018,5,5,3,3
Intermedia,42,Masculino,5587897,Secundaria,10,Pensionado,No,3791112,Urbano,11,11,10,3791112,4,3,3,2
Intermedia,44,Masculino,2113353,Tecnico,1,Ama de casa,Si,1224874,Urbano,14,14,1,1224874,4,1,1,0
Intermedia,53,Femenino,1577583,Secundaria,14,Pensionado,No,2272346,Rural,9,9,14,2272346,4,4,2,3
Plena,32,Masculino,3263799,Universitario,7,Independiente,No,2482662,Urbano,52,52,7,2482662,1,2,2,0
Intermedia,50,Femenino,1883705,Tecnico,13,Empleado,Si,2549306,Urbano,13,13,13,2549306,4,4,2,3
Intermedia,47,Masculino,1676319,Tecnico,10,Estudiante,Si,2285647,Rural,9,9,10,2285647,4,3,2,3
Intermedia,51,Masculino,3313837,Secundaria,2,Estudiante,No,4216932,Rural,23,23,2,4216932,3,1,3,0
Basica,48,Masculino,4720760,Primaria,11,Independiente,Si,3157403,Urbano,4,4,11,3157403,5,3,3,3
Plena,74,Masculino,5273420,Universitario,21,Estudiante,Si,6970414,Urbano,48,48,21,6970414,2,5,5,2
Basica,37,Masculino,977186,Secundaria,12,Pensionado,Si,1240294,Rural,2,2,12,1240294,5,4,1,3
Plena,39,Femenino,800505,Tecnico,10,Estudiante,No,877932,Urbano,130,130,10,877932,1,3,1,0
Plena,38,Masculino,7240024,Secundaria,15,Independiente,No,6061363,Urbano,44,44,15,6061363,2,5,4,2
Basica,38,Femenino,1990554,Secundaria,11,Independiente,Si,1517815,Rural,6,6,11,1517815,4,3,2,3
Basica,37,Femenino,4273521,Secundaria,11,Pensionado,Si,2657657,Rural,1,1,11,2657657,5,3,2,3
Plena,59,Femenino,6858912,Secundaria,5,Estudiante,Si,6925835,Rural,50,50,5,6925835,1,1,5,1
Plena,62,Femenino,8280911,Primaria,11,Estudiante,No,8986949,Urbano,36,36,11,8986949,2,3,5,1
Plena,38,Femenino,2828239,Tecnico,15,Empleado,Si,2430416,Urbano,39,39,15,2430416,2,5,2,3
Plena,35,Femenino,7200533,Universitario,6,Ama de casa,Si,7023105,Urbano,44,44,6,7023105,2,2,5,1
Basica,51,Femenino,1373122,Secundaria,17,Independiente,No,1185711,Rural,2,2,17,1185711,5,5,1,3
Intermedia,38,Masculino,7324734,Primaria,10,Empleado,Si,8357566,Urbano,13,13,10,8357566,4,3,5,1
Basica,53,Femenino,3309146,Secundaria,6,Independiente,No,4636971,Urbano,3,3,6,4636971,5,2,4,1
Plena,47,Femenino,3374923,Primaria,15,Empleado,No,2240680,Urbano,59,59,15,2240680,1,5,2,3
Intermedia,27,Masculino,2102193,Secundaria,9,Ama de casa,No,1852891,Urbano,29,29,9,1852891,2,2,2,0
Intermedia,64,Femenino,1489227,Primaria,14,Empleado,Si,954399,Urbano,12,12,14,954399,4,4,1,3
Basica,67,Masculino,3612133,Sin educacion,9,Independiente,Si,4063447,Urbano,1,1,9,4063447,5,2,3,0
Intermedia,38,Masculino,1705982,Primaria,10,Estudiante,No,2096431,Urbano,11,11,10,2096431,4,3,2,3
Intermedia,40,Masculino,4643365,Secundaria,12,Independiente,Si,6648893,Rural,11,11,12,6648893,4,4,4,2
Plena,48,Masculino,2752204,Primaria,11,Pensionado,No,2143614,Urbano,39,39,11,2143614,2,3,2,3
Intermedia,49,Femenino,5163358,Secundaria,0,Pensionado,Si,7487960,Rural,30,30,0,7487960,2,1,5,1
Plena,53,Masculino,8475373,Tecnico,4,Pensionado,No,4773861,Urbano,65,65,4,4773861,1,1,4,1
Intermedia,69,Femenino,6068597,Secundaria,15,Pensionado,No,6693747,Rural,19,19,15,6693747,3,5,4,2
Basica,43,Femenino,3956427,Primaria,9,Ama de casa,Si,2204255,Rural,3,3,9,2204255,5,2,2,0
Plena,35,Masculino,1952313,Universitario,7,Estudiante,Si,2721083,Urbano,37,37,7,2721083,2,2,2,0
Plena,28,Femenino,919203,Primaria,3,Estudiante,Si,946604,Urbano,42,42,3,946604,2,1,1,0
Intermedia,36,Masculino,5451801,Secundaria,5,Independiente,Si,6375055,Urbano,24,24,5,6375055,3,1,4,1
Plena,45,Masculino,3830811,Primaria,0,Empleado,No,5101008,Urbano,44,44,0,5101008,2,1,4,1
Intermedia,67,Masculino,3372301,Sin educacion,9,Independiente,No,2193043,Urbano,20,20,9,2193043,3,2,2,0
Intermedia,39,Masculino,242963,Secundaria,7,Independiente,Si,130858,Urbano,22,22,7,130858,3,2,1,0
Intermedia,48,Femenino,2024696,Secundaria,5,Independiente,Si,2791815,Rural,16,16,5,2791815,3,1,2,0
Basica,45,Femenino,175117,Tecnico,10,Independiente,No,142709,Rural,1,1,10,142709,5,3,1,3
Basica,59,Masculino,4571766,Secundaria,12,Estudiante,Si,2875544,Rural,3,3,12,2875544,5,4,3,3
Basica,75,Femenino,1265663,Universitario,20,Empleado,Si,1225746,Rural,1,1,20,1225746,5,5,1,3
Intermedia,39,Masculino,4347230,Sin educacion,2,Independiente,Si,4774589,Urbano,30,30,2,4774589,2,1,4,1
Intermedia,39,Masculino,304039,Sin educacion,16,Estudiante,Si,161436,Urbano,11,11,16,161436,4,5,1,3
Intermedia,58,Masculino,5201410,Sin educacion,15,Independiente,No,4030550,Urbano,21,21,15,4030550,3,5,3,2
Plena,53,Femenino,3359484,Secundaria,6,Pensionado,No,1789933,Urbano,71,71,6,1789933,1,2,2,0
Intermedia,67,Femenino,7003770,Secundaria,11,Independiente,Si,6445817,Urbano,8,8,11,6445817,4,3,4,1
Intermedia,52,Masculino,6927322,Tecnico,8,Independiente,No,9664307,Rural,15,15,8,9664307,3,2,5,1
Plena,41,Femenino,3383022,Sin educacion,11,Ama de casa,Si,5015846,Urbano,42,42,11,5015846,2,3,4,2
Intermedia,52,Masculino,7027495,Universitario,18,Pensionado,Si,7990596,Urbano,7,7,18,7990596,4,5,5,2
Basica,58,Femenino,5180020,Tecnico,13,Empleado,Si,3427296,Rural,2,2,13,3427296,5,4,3,3
Intermedia,55,Femenino,6438242,Primaria,13,Independiente,No,9051199,Rural,10,10,13,9051199,4,4,5,2
Basica,51,Femenino,4393331,Sin educacion,8,Empleado,No,4464713,Rural,5,5,8,4464713,5,2,3,0
Plena,58,Masculino,2589691,Secundaria,3,Pensionado,No,1693009,Urbano,79,79,3,1693009,1,1,2,0
Plena,59,Masculino,5997705,Primaria,9,Independiente,No,8527097,Urbano,49,49,9,8527097,1,3,5,1
Intermedia,62,Femenino,524596,Primaria,16,Ama de casa,No,659663,Urbano,30,30,16,659663,2,5,1,3
Plena,53,Femenino,987147,Tecnico,2,Estudiante,Si,1215874,Urbano,61,61,2,1215874,1,1,1,0
Plena,43,Femenino,10388483,Secundaria,5,Ama de casa,Si,12561553,Urbano,48,48,5,12561553,2,1,5,1
Basica,47,Femenino,1698524,Primaria,11,Ama de casa,No,1189544,Urbano,6,6,11,1189544,4,3,1,3
Plena,59,Masculino,7781113,Universitario,5,Estudiante,No,5532423,Urbano,66,66,5,5532423,1,1,4,1
Intermedia,35,Masculino,6291987,Tecnico,6,Estudiante,No,7476724,Urbano,23,23,6,7476724,3,2,5,1
Plena,49,Femenino,8923442,Universitario,8,Estudiante,Si,6422404,Urbano,49,49,8,6422404,1,2,4,1
Plena,40,Femenino,10375334,Primaria,3,Independiente,No,9739032,Rural,67,67,3,9739032,1,1,5,1
Intermedia,45,Masculino,1883673,Secundaria,5,Empleado,Si,2414872,Urbano,11,11,5,2414872,4,1,2,0
Basica,60,Femenino,209824,Secundaria,14,Empleado,Si,269404,Rural,3,3,14,269404,5,4,1,3
Intermedia,47,Masculino,3207294,Sin educacion,3,Estudiante,No,3057391,Urbano,7,7,3,3057391,4,1,3,0
Intermedia,46,Femenino,1014629,Sin educacion,2,Ama de casa,Si,1311093,Urbano,16,16,2,1311093,3,1,2,0
Plena,29,Femenino,233229,Universitario,7,Pensionado,Si,312205,Urbano,51,51,7,312205,1,2,1,0
Plena,54,Femenino,3748439,Tecnico,14,Estudiante,No,4328606,Urbano,59,59,14,4328606,1,4,3,2
Basica,53,Femenino,4075439,Primaria,9,Ama de casa,Si,2968655,Rural,1,1,9,2968655,5,3,3,3
Intermedia,71,Masculino,4416209,Secundaria,8,Ama de casa,No,3418198,Urbano,21,21,8,3418198,3,2,3,0
Intermedia,41,Femenino,2439668,Secundaria,10,Independiente,Si,1987942,Urbano,16,16,10,1987942,3,3,2,3
Intermedia,48,Femenino,5103868,Sin educacion,1,Independiente,No,3148087,Rural,7,7,1,3148087,4,1,3,0
Basica,48,Femenino,1206495,Primaria,12,Empleado,No,932813,Rural,3,3,12,932813,5,4,1,3
Intermedia,64,Femenino,112175,Primaria,12,Empleado,Si,79590,Rural,12,12,12,79590,4,4,1,3
Plena,44,Femenino,7949275,Primaria,8,Pensionado,No,7594171,Urbano,85,85,8,7594171,1,2,5,1
Intermedia,48,Femenino,4865196,Universitario,15,Pensionado,Si,6852325,Rural,11,11,15,6852325,4,5,5,2
Intermedia,52,Masculino,5945960,Secundaria,4,Pensionado,Si,3594216,Urbano,21,21,4,3594216,3,1,3,1
Plena,47,Femenino,404955,Universitario,16,Pensionado,No,494154,Urbano,36,36,16,494154,2,5,1,3
Intermedia,40,Femenino,6529533,Secundaria,11,Pensionado,No,7752404,Urbano,13,13,11,7752404,4,3,5,2
Plena,47,Masculino,6443072,Tecnico,8,Ama de casa,No,3838487,Urbano,107,107,8,3838487,1,2,3,1
Plena,58,Femenino,5859312,Secundaria,10,Empleado,Si,8335296,Urbano,98,98,10,8335296,1,3,5,1
Intermedia,33,Masculino,4871990,Sin educacion,9,Independiente,Si,5205586,Urbano,8,8,9,5205586,4,3,4,2
Intermedia,47,Femenino,6742579,Primaria,16,Independiente,No,5823738,Urbano,20,20,16,5823738,3,5,4,2
Intermedia,37,Masculino,4578105,Tecnico,5,Estudiante,Si,5752566,Urbano,10,10,5,5752566,4,1,4,1
Intermedia,59,Masculino,4531413,Tecnico,6,Ama de casa,Si,3431936,Urbano,10,10,6,3431936,4,2,3,0
Basica,27,Masculino,5151532,Secundaria,15,Pensionado,Si,6148404,Rural,1,1,15,6148404,5,5,4,2
Intermedia,38,Masculino,5902495,Secundaria,7,Pensionado,Si,3185643,Urbano,28,28,7,3185643,2,2,3,1
Intermedia,50,Femenino,3449892,Universitario,15,Estudiante,Si,4620813,Rural,20,20,15,4620813,3,5,4,2
Basica,64,Masculino,3678464,Sin educacion,18,Independiente,Si,3487812,Rural,1,1,18,3487812,5,5,3,3
Intermedia,44,Femenino,3035998,Primaria,8,Pensionado,Si,3450997,Rural,9,9,8,3450997,4,2,3,0
Plena,38,Femenino,2380305,Secundaria,13,Independiente,Si,1716766,Rural,71,71,13,1716766,1,4,2,3
Intermedia,68,Femenino,4655445,Tecnico,4,Estudiante,No,5479802,Rural,8,8,4,5479802,4,1,4,1
Basica,28,Femenino,4826547,Universitario,14,Independiente,Si,6140527,Rural,4,4,14,6140527,5,4,4,2
Intermedia,19,Femenino,7247288,Primaria,11,Independiente,Si,7053156,Rural,20,20,11,7053156,3,3,5,2
Plena,50,Masculino,3555815,Universitario,12,Independiente,No,3974430,Urbano,127,127,12,3974430,1,4,3,2
Intermedia,39,Femenino,4115884,Universitario,7,Pensionado,No,3936127,Rural,8,8,7,3936127,4,2,3,0
Plena,33,Masculino,2201013,Secundaria,2,Empleado,No,3068413,Urbano,33,33,2,3068413,2,1,3,0
Plena,54,Masculino,10354564,Tecnico,13,Ama de casa,Si,10332500,Urbano,43,43,13,10332500,2,4,5,2
Intermedia,48,Femenino,7652720,Secundaria,0,Independiente,No,10268486,Urbano,8,8,0,10268486,4,1,5,1
Plena,38,Femenino,6754893,Universitario,8,Independiente,No,8790494,Urbano,39,39,8,8790494,2,2,5,1
Intermedia,30,Femenino,6274430,Primaria,15,Independiente,Si,5712899,Urbano,13,13,15,5712899,4,5,4,2
Intermedia,55,Femenino,5577781,Tecnico,11,Empleado,Si,4072251,Urbano,30,30,11,4072251,2,3,3,2
Intermedia,53,Femenino,4626634,Secundaria,20,Estudiante,No,4192110,Urbano,30,30,20,4192110,2,5,3,2
Intermedia,44,Femenino,416114,Universitario,15,Pensionado,No,551858,Urbano,23,23,15,551858,3,5,1,3
Basica,67,Femenino,2364775,Primaria,7,Empleado,Si,1720687,Rural,2,2,7,1720687,5,2,2,0
Plena,32,Masculino,7017778,Tecnico,10,Independiente,Si,7189267,Urbano,54,54,10,7189267,1,3,5,2
Intermedia,27,Masculino,5284747,Universitario,10,Empleado,Si,6902391,Urbano,11,11,10,6902391,4,3,5,2
Basica,37,Femenino,1940238,Tecnico,2,Empleado,Si,1655949,Rural,6,6,2,1655949,4,1,2,0
Basica,44,Masculino,4896798,Tecnico,5,Empleado,Si,5593170,Urbano,1,1,5,5593170,5,1,4,1
Intermedia,48,Femenino,1305385,Sin educacion,7,Estudiante,No,973336,Urbano,26,26,7,973336,3,2,1,0
Plena,42,Femenino,5203738,Universitario,0,Ama de casa,Si,3170531,Urbano,33,33,0,3170531,2,1,3,0
Basica,49,Masculino,3592597,Sin educacion,10,Pensionado,Si,4650201,Rural,1,1,10,4650201,5,3,4,2
Intermedia,30,Femenino,5437659,Secundaria,9,Estudiante,Si,3256987,Urbano,21,21,9,3256987,3,3,3,2
Intermedia,62,Femenino,5059384,Secundaria,2,Estudiante,Si,3902715,Rural,7,7,2,3902715,4,1,3,0
Intermedia,44,Masculino,2147248,Secundaria,12,Ama de casa,Si,2909756,Urbano,31,31,12,2909756,2,4,3,3
Basica,58,Masculino,812274,Secundaria,14,Estudiante,No,687565,Urbano,5,5,14,687565,5,4,1,3
Plena,49,Masculino,6613779,Universitario,11,Empleado,Si,9742396,Urbano,35,35,11,9742396,2,3,5,1
Intermedia,50,Masculino,4674557,Primaria,8,Empleado,No,6917102,Rural,14,14,8,6917102,4,2,5,1
Plena,52,Masculino,1865303,Universitario,13,Independiente,Si,1433068,Urbano,82,82,13,1433068,1,4,2,3
Basica,50,Femenino,3666724,Primaria,13,Estudiante,No,1983618,Urbano,4,4,13,1983618,5,4,2,3
Intermedia,53,Femenino,3550342,Primaria,12,Independiente,No,4278387,Rural,12,12,12,4278387,4,4,3,3
Basica,61,Femenino,3472355,Sin educacion,6,Pensionado,Si,3302163,Rural,3,3,6,3302163,5,2,3,0
Plena,47,Femenino,8708618,Universitario,11,Empleado,Si,5231727,Rural,77,77,11,5231727,1,3,4,2
Plena,54,Femenino,1765176,Universitario,16,Pensionado,Si,2131490,Urbano,62,62,16,2131490,1,5,2,3
Intermedia,44,Femenino,149330,Universitario,7,Ama de casa,Si,79320,Urbano,8,8,7,79320,4,2,1,0
Plena,62,Masculino,8102667,Universitario,20,Empleado,Si,11102248,Urbano,32,32,20,11102248,2,5,5,2
Plena,37,Masculino,6340853,Secundaria,7,Pensionado,No,4049602,Urbano,50,50,7,4049602,1,2,3,1
Intermedia,67,Masculino,5457189,Secundaria,10,Ama de casa,Si,3423359,Urbano,24,24,10,3423359,3,3,3,3
Intermedia,45,Femenino,6537609,Tecnico,7,Pensionado,Si,4417281,Urbano,22,22,7,4417281,3,2,3,1
Intermedia,28,Masculino,6261925,Secundaria,11,Ama de casa,No,9144078,Rural,8,8,11,9144078,4,3,5,2
Basica,47,Femenino,4996785,Primaria,1,Ama de casa,Si,5962011,Rural,2,2,1,5962011,5,1,4,1
Plena,37,Masculino,5573725,Tecnico,7,Empleado,No,7253487,Urbano,68,68,7,7253487,1,2,5,1
Plena,55,Femenino,5080355,Tecnico,5,Independiente,Si,4560304,Urbano,69,69,5,4560304,1,1,4,1
Intermedia,37,Masculino,3134720,Secundaria,11,Ama de casa,No,2621606,Urbano,30,30,11,2621606,2,3,2,3
Intermedia,40,Femenino,1198790,Primaria,15,Ama de casa,Si,880492,Rural,12,12,15,880492,4,5,1,3
Intermedia,22,Masculino,4466336,Secundaria,13,Empleado,No,4379904,Rural,12,12,13,4379904,4,4,3,2
Plena,40,Masculino,2880930,Tecnico,0,Independiente,No,3030245,Urbano,38,38,0,3030245,2,1,3,0
Plena,18,Femenino,9581598,Tecnico,20,Estudiante,Si,10844212,Urbano,68,68,20,10844212,1,5,5,2
Plena,26,Femenino,6065184,Secundaria,11,Estudiante,Si,4592063,Urbano,65,65,11,4592063,1,3,4,2
Plena,54,Masculino,6165538,Universitario,6,Independiente,Si,8931732,Urbano,45,45,6,8931732,2,2,5,1
Intermedia,54,Femenino,2768412,Sin educacion,11,Pensionado,No,1854167,Urbano,30,30,11,1854167,2,3,2,3
Basica,50,Masculino,270345,Primaria,11,Empleado,No,396232,Rural,2,2,11,396232,5,3,1,3
Basica,33,Masculino,165068,Secundaria,7,Independiente,No,84986,Rural,5,5,7,84986,5,2,1,0
Plena,44,Femenino,4402685,Tecnico,11,Estudiante,Si,4319587,Urbano,68,68,11,4319587,1,3,3,2
Intermedia,45,Femenino,659610,Primaria,7,Ama de casa,Si,549698,Urbano,27,27,7,549698,2,2,1,0
Basica,31,Femenino,3155604,Secundaria,8,Estudiante,No,2995058,Rural,1,1,8,2995058,5,2,3,0
Basica,63,Masculino,4581060,Secundaria,7,Ama de casa,Si,4904779,Rural,3,3,7,4904779,5,2,4,1
Plena,56,Femenino,9182314,Universitario,3,Empleado,No,8590873,Urbano,32,32,3,8590873,2,1,5,1
Basica,42,Femenino,3427036,Secundaria,11,Ama de casa,Si,3135213,Urbano,1,1,11,3135213,5,3,3,3
Basica,45,Femenino,1098406,Secundaria,13,Independiente,Si,1354031,Rural,5,5,13,1354031,5,4,2,3
Intermedia,48,Masculino,6731375,Secundaria,13,Ama de casa,No,7982578,Urbano,23,23,13,7982578,3,4,5,2
Plena,20,Masculino,9215372,Primaria,14,Pensionado,Si,12286591,Urbano,35,35,14,12286591,2,4,5,2
Plena,42,Masculino,2045197,Secundaria,12,Independiente,Si,1533814,Urbano,31,31,12,1533814,2,4,2,3
Intermedia,37,Femenino,5751923,Secundaria,7,Empleado,Si,6381923,Urbano,7,7,7,6381923,4,2,4,1
Plena,33,Masculino,2979803,Tecnico,14,Independiente,Si,3233667,Urbano,37,37,14,3233667,2,4,3,2
Intermedia,42,Femenino,6260594,Secundaria,3,Pensionado,Si,5445075,Urbano,8,8,3,5445075,4,1,4,1
Intermedia,67,Masculino,7778456,Primaria,5,Empleado,No,7670005,Rural,11,11,5,7670005,4,1,5,1
Plena,53,Masculino,312270,Sin educacion,5,Estudiante,Si,254120,Urbano,41,41,5,254120,2,1,1,0
Intermedia,38,Femenino,6999454,Secundaria,15,Pensionado,No,4492560,Urbano,31,31,15,4492560,2,5,3,2
Plena,52,Femenino,6475358,Secundaria,15,Empleado,Si,4622118,Urbano,56,56,15,4622118,1,5,4,2
Plena,62,Masculino,10123179,Universitario,12,Ama de casa,Si,6129723,Urbano,32,32,12,6129723,2,4,4,2
Intermedia,56,Femenino,3627074,Sin educacion,15,Independiente,No,4291081,Urbano,25,25,15,4291081,3,5,3,3
Basica,46,Masculino,4406417,Secundaria,6,Empleado,No,5114649,Rural,2,2,6,5114649,5,2,4,1
Intermedia,37,Femenino,2121589,Secundaria,2,Estudiante,No,1552118,Rural,13,13,2,1552118,4,1,2,0
Basica,56,Femenino,1357452,Universitario,7,Pensionado,Si,1517217,Urbano,9,9,7,1517217,4,2,2,0
Basica,41,Masculino,1785611,Primaria,10,Empleado,No,2043495,Urbano,8,8,10,2043495,4,3,2,3
Plena,60,Masculino,8679547,Primaria,8,Ama de casa,Si,4585730,Urbano,108,108,8,4585730,1,2,4,1
Basica,37,Masculino,4864519,Primaria,16,Estudiante,Si,6462661,Rural,14,14,16,6462661,4,5,4,2
Plena,48,Femenino,1931624,Tecnico,0,Ama de casa,No,2488463,Urbano,66,66,0,2488463,1,1,2,0
Plena,35,Femenino,3874093,Secundaria,10,Pensionado,Si,2940573,Urbano,29,29,10,2940573,2,3,3,0
Basica,71,Femenino,4828879,Sin educacion,9,Estudiante,Si,5836554,Urbano,47,47,9,5836554,2,3,4,1
Basica,31,Femenino,321404,Universitario,8,Pensionado,Si,229757,Rural,20,20,8,229757,3,2,1,0
Plena,49,Femenino,960549,Universitario,19,Ama de casa,Si,519014,Urbano,25,25,19,519014,3,5,1,3
Intermedia,53,Femenino,1269770,Tecnico,6,Pensionado,Si,890282,Rural,20,20,6,890282,3,2,1,0
Intermedia,50,Femenino,4642660,Primaria,14,Estudiante,No,3150643,Rural,6,6,14,3150643,4,4,3,3
Plena,43,Masculino,1564912,Primaria,12,Estudiante,Si,1311002,Urbano,38,38,12,1311002,2,4,2,3
Plena,43,Femenino,10067994,Primaria,16,Pensionado,Si,9246944,Urbano,9,9,16,9246944,4,5,5,2
